song_name,time,album_name,genre,release_date,album_artist,,,
MagSafe,2:10,MagSafe - Single,Pop,11/12/2020,Jonathan & Friends & Wolf,,,
Wanted,2:16,Human (Deluxe),Pop,9/9/2019,OneRepublic,,,
MONTERO (Call Me By Your Name),2:18,MONTERO (Call Me By Your Name) - Single,Pop,3/26/2021,Lil Nas X,,,
my ex's best friend,2:19,Tickets to My Downfall (SOLD OUT Deluxe),Alternative,8/7/2020,Machine Gun Kelly,,,
oops!,2:20,Gasanova,Hip-Hop/Rap,10/2/2020,Yung Gravy,,,
Mood (feat. iann dior),2:21,El Dorado,Hip-Hop/Rap,7/24/2020,24kGoldn,,,
STAY,2:22,STAY - Single,Pop,7/9/2021,The Kid LAROI & Justin Bieber,,,
THATS WHAT I WANT,2:24,MONTERO,Pop,9/17/2021,Lil Nas X,,,
if we never met (feat. Kelsea Ballerini),2:24,if we never met (feat. Kelsea Ballerini) - Single,Pop,10/9/2020,John K,,,
Body Language,2:25,Good Things,Country,8/13/2021,Dan + Shay,,,
Drip Too Hard,2:26,Drip Harder,Hip-Hop/Rap,9/12/2018,Lil Baby & Gunna,,,
Screaming Underwater,2:26,Screaming Underwater - Single,Pop,9/10/2021,Alex Warren,,,
Just Drive,2:28,Just Drive - Single,Country,8/6/2021,Erin Kinsey,,,
Good Things,2:29,Good Things,Country,7/15/2021,Dan + Shay,,,
Lonely,2:29,Lonely - Single,Pop,10/16/2020,Justin Bieber & benny blanco,,,
Last Hurrah,2:30,Last Hurrah - Single,Pop,2/15/2019,Bebe Rexha,,,
July,2:32,July - Single,Pop,11/8/2019,Noah Cyrus & Leon Bridges,,,
Ghost,2:33,Justice,Pop,3/19/2021,Justin Bieber,,,
Memory,2:33,Memory - Single,Pop,7/9/2021,Kane Brown x blackbear,,,
alone in a room full of people,2:35,misery lake - EP,Pop,8/13/2021,blackbear,,,
HOLIDAY,2:35,HOLIDAY - Single,Pop,11/13/2020,Lil Nas X,,,
Here With Me (feat. CHVRCHES),2:36,Here With Me (feat. CHVRCHES) - Single,Dance,3/8/2019,Marshmello,,,
Old Town Road (feat. Billy Ray Cyrus) [Remix],2:37,7 - EP,Country,4/5/2019,Lil Nas X,,,
SOS (feat. Aloe Blacc),2:37,SOS (feat. Aloe Blacc) - Single,Dance,4/10/2019,Avicii,,,
Up All Night,2:37,Up All Night - Single,R&B/Soul,11/14/2019,Khalid,,,
Tequila (R3HAB Remix),2:37,Tequila (R3HAB Remix) - Single,Country,6/21/2018,Dan + Shay,,,
Easier,2:37,Easier - Single,Pop,5/23/2019,5 Seconds of Summer,,,
Unforgettable,2:38,Life Changes,Country,7/28/2017,Thomas Rhett,,,
Ride It,2:38,Ride It - Single,Dance,7/26/2019,Regard,,,
My Truck,2:38,BRELAND EP,Country,1/11/2020,BRELAND,,,
People Watching,2:39,People Watching - Single,Pop,7/15/2021,Conan Gray,,,
Emperor's New Clothes,2:39,Death Of A Bachelor,Alternative,10/21/2015,Panic! At the Disco,,,
Nice to Meet Ya,2:39,Nice to Meet Ya - Single,Pop,10/4/2019,Niall Horan,,,
Rescue Me,2:39,Rescue Me - Single,Pop,5/17/2019,OneRepublic,,,
Ophelia,2:40,Cleopatra (Deluxe),Alternative,2/5/2016,The Lumineers,,,
Make It to Me,2:41,In the Lonely Hour (Drowning Shadows Edition),Pop,5/26/2014,Sam Smith,,,
Hard On Yourself,2:41,Hard On Yourself - Single,Pop,8/14/2020,Charlie Puth & blackbear,,,
Class Fight,2:41,K-12,Alternative,9/6/2019,Melanie Martinez,,,
Something Big,2:41,Handwritten (Revisited),Pop,11/6/2014,Shawn Mendes,,,
WITHOUT YOU,2:41,F*CK LOVE (SAVAGE),Hip-Hop/Rap,11/6/2020,The Kid LAROI,,,
Call on Me,2:42,Call on Me - Single,Pop,7/29/2016,Starley,,,
Mind Is a Prison,2:42,These Two Windows,Pop,2/15/2020,Alec Benjamin,,,
Kissing Other People,2:42,Three. Two. One.,Pop,3/13/2020,Lennon Stella,,,
Body Like a Back Road,2:43,Body Like a Back Road - Single,Country,2/2/2017,Sam Hunt,,,
Demons,2:43,These Two Windows,Pop,2/15/2020,Alec Benjamin,,,
Feel It Still,2:43,Woodstock,Alternative,3/2/2017,Portugal. The Man,,,
ROXANNE,2:44,ROXANNE - Single,Hip-Hop/Rap,10/10/2019,Arizona Zervas,,,
House of Gold,2:44,Vessel,Alternative,12/26/2012,twenty one pilots,,,
Molly Cyrus,2:45,Molly Cyrus - Single,Hip Hop/Rap,3/31/2015,Stitches,,,
Magic in the Hamptons (feat. Lil Yachty),2:45,Magic in the Hamptons (feat. Lil Yachty) - Single,Hip-Hop/Rap,6/8/2018,Social House,,,
Love,2:46,Origins,Alternative,11/9/2018,Imagine Dragons,,,
Breaking Me,2:47,Breaking Me - Single,Dance,1/17/2020,Topic & A7S,,,
Like I Can,2:47,In the Lonely Hour,Pop,5/26/2014,Sam Smith,,,
Buy Dirt (feat. Luke Bryan),2:47,Buy Dirt,Country,5/21/2021,Jordan Davis,,,
"10,000 Hours",2:48,"10,000 Hours - Single",Country,10/4/2019,Dan + Shay & Justin Bieber,,,
Trust Nobody (feat. Adam Levine),2:48,Funeral,Hip-Hop/Rap,1/31/2020,Lil Wayne,,,
Look What God Gave Her,2:49,Center Point Road,Country,3/3/2019,Thomas Rhett,,,
you broke me first,2:49,you broke me first - Single,Pop,4/17/2020,Tate McRae,,,
Let Me Down Slowly,2:49,Narrated for You,Pop,7/4/2018,Alec Benjamin,,,
Barefoot Blue Jean Night,2:49,Barefoot Blue Jean Night,Country,4/18/2011,Jake Owen,,,
All To Myself,2:50,Dan + Shay,Country,5/3/2018,Dan + Shay,,,
"Hey Look Ma, I Made It",2:50,Pray for the Wicked,Alternative,6/22/2018,Panic! At the Disco,,,
When She Says Baby,2:51,Night Train,Country,10/16/2012,Jason Aldean,,,
Eastside,2:51,FRIENDS KEEP SECRETS,Pop,7/13/2018,benny blanco,,,
Bang!,2:51,Bang! - Single,Alternative,2/12/2020,AJR,,,
Dancing with a Stranger,2:51,Dancing with a Stranger - Single,Pop,1/11/2019,Sam Smith & Normani,,,
Savage Love (Laxed - Siren Beat),2:51,Savage Love (Laxed - Siren Beat) - Single,Pop,6/10/2020,Jawsh 685 x Jason Derulo,,,
Hold The Line (feat. A R I Z O N A),2:52,TIM,Dance,6/6/2019,Avicii,,,
Booty Call,2:52,Zydeco Train,Hip Hop/Rap,12/27/2005,Travis Matte and the Zydeco Kingpins,,,
Not In That Way,2:52,In the Lonely Hour,Pop,5/26/2014,Sam Smith,,,
Lost,2:53,JORDI (Deluxe),Pop,6/11/2021,Maroon 5,,,
Stay With Me,2:53,In the Lonely Hour,Pop,5/25/2014,Sam Smith,,,
Night Shift,2:53,California Sunrise,Country,6/17/2016,Jon Pardi,,,
Wannabe (Radio Edit),2:53,Spice,Pop,9/19/1996,Spice Girls,,,
death bed (feat. beabadoobee) [coffee for your head],2:53,death bed (feat. beabadoobee) [coffee for your head] - Single,Hip-Hop/Rap,5/14/2020,Powfu,,,
Life Support,2:53,In the Lonely Hour,Pop,5/23/2014,Sam Smith,,,
Watermelon Sugar,2:54,Fine Line,Pop,12/13/2019,Harry Styles,,,
Never Go Back,2:55,Never Go Back - Single,Alternative,2/15/2019,Dennis Lloyd,,,
Classic,2:55,MKTO,Pop,6/20/2013,MKTO,,,
I Won't Back Down,2:56,Full Moon Fever,Rock,4/24/1989,Tom Petty,,,
Roses (Imanbek Remix),2:56,Roses (Imanbek Remix) - Single,Dance,1/22/2020,SAINt JHN,,,
My Person,2:57,My Person - Single,Country,10/4/2019,Spencer Crandall,,,
Chill Bill (feat. J. Davi$ & Spooks),2:57,Chill Bill (feat. J. Davi$ & Spooks) - Single,Hip Hop/Rap,6/17/2016,Rob $tone,,,
Move On,2:58,A Real Good Kid,Alternative,1/18/2019,Mike Posner,,,
White Lightning,2:59,Bury Me in My Boots,Country,4/21/2015,The Cadillac Three,,,
Sixteen,2:59,Life Changes,Country,9/8/2017,Thomas Rhett,,,
Freak (feat. Bonn),2:59,TIM,Dance,6/6/2019,Avicii,,,
Shake It,3:00,Metro Station,Alternative,9/18/2007,Metro Station,,,
Beautiful (feat. Camila Cabello),3:00,Beautiful (feat. Camila Cabello) - Single,Pop,8/2/2018,Bazzi,,,
Show You,3:00,Show You - Single,Pop,2/2/2015,Shawn Mendes,,,
Cheerleader (Felix Jaehn Remix) [Radio Edit],3:01,Me 4 U,Pop/Rock,5/19/2014,Omi,,,
Yellow Hearts (feat. Audrey Mika),3:01,BUBBLE - EP,Pop,4/3/2020,Ant Saunders,,,
Silence (feat. Khalid),3:01,Silence (feat. Khalid) - Single,Dance,8/11/2017,Marshmello,,,
Hoedown Throwdown,3:01,Hannah Montana: The Movie (Original Motion Picture Soundtrack),Soundtrack,3/10/2009,Hannah Montana,,,
Sucker,3:01,Sucker - Single,Pop,3/1/2019,Jonas Brothers,,,
Hey,3:01,Mitchel Musso,Pop,6/2/2009,Mitchel Musso,,,
Con Calma (feat. Snow) [Remix],3:01,Con Calma (feat. Snow) [Remix] - Single,Urbano latino,4/19/2019,Daddy Yankee & Katy Perry,,,
Shockwave,3:01,Shockwave,Dance,6/11/2021,Marshmello,,,
Know Your Worth,3:01,Know Your Worth - Single,R&B/Soul,2/4/2020,Khalid & Disclosure,,,
If We Have Each Other,3:02,Narrated for You,Pop,7/27/2018,Alec Benjamin,,,
comethru,3:02,"summer, - EP",Pop,9/7/2018,Jeremy Zucker,,,
Graveyard,3:02,Manic,Alternative,9/13/2019,Halsey,,,
One Thing Right,3:02,One Thing Right - Single,Pop,6/21/2019,Marshmello & Kane Brown,,,
Kinfolks,3:02,SOUTHSIDE,Country,10/11/2019,Sam Hunt,,,
Damn,3:02,Damn - Single,Pop,10/5/2018,LIVVIA,,,
Someone You Loved,3:02,Breach - EP,Alternative,11/8/2018,Lewis Capaldi,,,
Close to Me,3:03,Close to Me - Single,Pop,10/24/2018,"Ellie Goulding, Diplo & Swae Lee",,,
Mama (feat. William Singe),3:03,Summer Beach Vibes,Dance,5/5/2017,Various Artists,,,
Only Human,3:03,Happiness Begins,Pop,6/7/2019,Jonas Brothers,,,
Love Don't Die,3:03,Helios,Pop,10/15/2013,The Fray,,,
Don't Start Now,3:03,Don't Start Now - Single,Pop,10/31/2019,Dua Lipa,,,
Undrunk,3:03,You Ruined New York City for Me - EP,Pop,1/25/2019,FLETCHER,,,
So Far Away (feat. Jamie Scott & Romy Dya),3:04,So Far Away (feat. Jamie Scott & Romy Dya) - Single,Dance,12/1/2017,Martin Garrix & David Guetta,,,
Mo Bamba,3:04,MUDBOY,Hip-Hop/Rap,6/16/2017,Sheck Wes,,,
Trampoline,3:04,Trampoline - Single,Pop,9/26/2019,SHAED & ZAYN,,,
The Middle,3:05,The Middle - Single,Dance,1/23/2018,"Zedd, Maren Morris & Grey",,,
UCLA (feat. 24Hrs),3:05,NOVA,Electronic,7/27/2018,RL Grime,,,
X (feat. KAROL G),3:05,XV - Single,Pop,5/15/2020,Jonas Brothers,,,
Afterglow,3:05,Afterglow - Single,Pop,12/21/2020,Ed Sheeran,,,
Fall for You,3:06,A Twist In My Story (Bonus Track Version),Alternative,1/21/2008,Secondhand Serenade,,,
Tongue Tied,3:06,Tongue Tied - Single,Alternative,1/17/2020,"Marshmello, YUNGBLUD & blackbear",,,
Ignition (Remix),3:06,Chocolate Factory,R&B/Soul,10/22/2002,R. Kelly,,,
Love Ain't,3:06,Love Ain't - Single,Country,5/25/2018,Eli Young Band,,,
Hate Me,3:06,Hate Me - Single,Pop,6/26/2019,Ellie Goulding & Juice WRLD,,,
One Man Band,3:06,Old Dominion,Country,8/16/2019,Old Dominion,,,
Past Life,3:06,Past Life - Single,Pop,6/26/2020,Trevor Daniel & Selena Gomez,,,
I Write Sins Not Tragedies,3:07,A Fever You Can't Sweat Out,Alternative,9/27/2005,Panic! At the Disco,,,
Old Me,3:07,CALM,Pop,2/21/2020,5 Seconds of Summer,,,
679 (feat. Monty),3:07,Fetty Wap (Deluxe Edition),Hip Hop/Rap,,Fetty Wap,,,
Palace,3:07,The Thrill of It All,Pop,11/3/2017,Sam Smith,,,
What She Wants Tonight,3:07,Born Here Live Here Die Here,Country,10/25/2019,Luke Bryan,,,
This Is Gospel,3:07,"Too Weird To Live, Too Rare To Die!",Alternative,8/12/2013,Panic! At the Disco,,,
Sweet but Psycho,3:07,Heaven & Hell,Pop,8/17/2018,Ava Max,,,
Arcade (feat. FLETCHER),3:07,Arcade (feat. FLETCHER) - Single,Pop,11/13/2020,Duncan Laurence,,,
Wavy (feat. Joe Moses),3:08,Free TC (Deluxe),Hip Hop/Rap,11/13/2015,Ty Dolla $ign,,,
Slow Hands,3:08,Slow Hands - Single,Pop,5/4/2017,Niall Horan,,,
Single Saturday Night,3:08,Single Saturday Night - Single,Country,5/22/2020,Cole Swindell,,,
I'm Still Standing,3:08,Sing (Original Motion Picture Soundtrack Deluxe),Soundtrack,12/9/2016,Various Artists,,,
Can We Kiss Forever? (feat. Adriana Proenza),3:08,Can We Kiss Forever? (feat. Adriana Proenza) - Single,Electronic,8/31/2018,Kina,,,
Treat You Better,3:08,Treat You Better - Single,Pop,6/3/2016,Shawn Mendes,,,
FourFiveSeconds,3:08,FourFiveSeconds - Single,Pop,1/24/2015,Rihanna and Kanye West and Paul McCartney,,,
hot girl bummer,3:08,everything means nothing,Pop,8/23/2019,blackbear,,,
Leave Your Lover,3:08,In the Lonely Hour,Pop,5/26/2014,Sam Smith,,,
Good Girl,3:09,Tullahoma,Country,5/5/2018,Dustin Lynch,,,
Pretender (feat. Lil Yachty & AJR),3:09,Pretender (feat. Lil Yachty & AJR) - Single,Dance,5/18/2018,Steve Aoki,,,
Lost in the Middle of Nowhere (feat. Becky G),3:09,Experiment Extended,Country,11/9/2018,Kane Brown,,,
Prayer In C (Robin Schulz Radio Edit),3:09,Prayer,Dance,6/6/2014,Robin Schulz,,,
Vibrator,3:09,Zydeco Train,Hip Hop/Rap,12/27/2005,Travis Matte and the Zydeco Kingpins,,,
Natural,3:09,Origins (Deluxe),Alternative,7/16/2018,Imagine Dragons,,,
Memories,3:09,Memories - Single,Pop,9/20/2019,Maroon 5,,,
Are You Gonna Kiss Me Or Not,3:10,Are You Gonna Kiss Me Or Not - Single,Country,7/12/2010,Thompson Square,,,
Take Me Back to London (feat. Stormzy),3:10,No.6 Collaborations Project,Pop,7/12/2019,Ed Sheeran,,,
Somebody (feat. Jeremih),3:10,Somebody (feat. Jeremih) - Single,Pop,1/2/2015,Natalie La Rose,,,
Maps,3:10,V (Deluxe),Pop,6/16/2014,Maroon 5,,,
Way To Break My Heart (feat. Skrillex),3:10,No.6 Collaborations Project,Pop,7/12/2019,Ed Sheeran,,,
Wait,3:11,Red Pill Blues (Deluxe),Pop,10/31/2017,Maroon 5,,,
Life Changes,3:11,Life Changes,Country,9/8/2017,Thomas Rhett,,,
If I Can't Have You,3:11,If I Can't Have You - Single,Pop,5/3/2019,Shawn Mendes,,,
Anyone,3:11,Justice,Pop,1/1/2021,Justin Bieber,,,
Youth (feat. Khalid),3:11,Shawn Mendes,Pop,5/3/2018,Shawn Mendes,,,
High Hopes,3:11,Pray for the Wicked,Alternative,5/23/2018,Panic! At the Disco,,,
Señorita,3:11,Señorita - Single,Pop,6/21/2019,Shawn Mendes & Camila Cabello,,,
Save Your Tears (Remix),3:11,Save Your Tears (Remix) - Single,R&B/Soul,4/23/2021,The Weeknd & Ariana Grande,,,
Drew Barrymore,3:11,Drew Barrymore - EP,Hip-Hop/Rap,7/12/2019,Bryce Vine,,,
House Party,3:11,Montevallo,Country,10/26/2014,Sam Hunt,,,
Nothing,3:11,Somewhere in Between,Pop,6/30/2017,VÉRITÉ,,,
Perfect Strangers (feat. JP Cooper) [Acoustic],3:11,Perfect Strangers (feat. JP Cooper) [Acoustic] - Single,Dance,6/3/2016,Jonas Blue,,,
@ my worst,3:11,misery lake - EP,Pop,8/6/2021,blackbear,,,
Be Like That,3:11,Be Like That - Single,Pop,7/10/2020,"Kane Brown, Swae Lee, Khalid",,,
